189,5;183,25;186,25;191,75;185,25;184,5;187;186,25;187,5;187,75;189,5;184,5;185;188,5;185,75;187,5;186,25;184,75;188,75;185,5;190,75;188,75;182,5;184,75;186;187;185,75;185;186,5;189,75;187;187,75;186,25;183;187;191;184,5;185,75;188,75;187;188;189;189,25;189,25;186,5;183,75;190;185,75;190,25;187,75;186,985;186,985
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Gennemsnit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;186,985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
